wkt_geom;field_1;field_2;field_3;field_4;field_5;field_6;id;Set
Point (17.80000000000000071 43.35000000000000142);146480;MOSTAR;BOSNIA AND HERZEGOVINA;43.35;17.8;108;1;Schiereiland
Point (18.26699999999999946 43.71699999999999875);146520;BJELASNICA;BOSNIA AND HERZEGOVINA;43.717;18.267;2070;1;Schiereiland
Point (18.43299999999999983 43.86699999999999733);146540;SARAJEVO-BJELAVE;BOSNIA AND HERZEGOVINA;43.867;18.433;638;1;Schiereiland
Point (28.81700000000000017 45.18299999999999983);153350;TULCEA;ROMANIA;45.183;28.817;6;1;Schiereiland
Point (28.88299999999999912 44.76700000000000301);154090;JURILOVCA;ROMANIA;44.767;28.883;38;1;Schiereiland
Point (28.64999999999999858 44.21699999999999875);154800;CONSTANTA;ROMANIA;44.217;28.65;14;1;Schiereiland
Point (28.43299999999999983 44.33299999999999841);154810;KOGALNICEANU;ROMANIA;44.333;28.433;102;1;Schiereiland
Point (28.58299999999999841 43.81700000000000017);154990;MANGALIA;ROMANIA;43.817;28.583;9;1;Schiereiland
Point (22.88299999999999912 43.81700000000000017);155020;VIDIN;BULGARIA;43.817;22.883;33;1;Schiereiland
Point (23.53300000000000125 43.20000000000000284);155050;VRATZA;BULGARIA;43.2;23.533;310;1;Schiereiland
Point (23.25 43.81700000000000017);155110;LOM;BULGARIA;43.817;23.25;33;1;Schiereiland
Point (24.71699999999999875 43.13300000000000267);155250;LOVETCH;BULGARIA;43.133;24.717;221;1;Schiereiland
Point (25.69999999999999929 43.14999999999999858);155253;GORNA ORYAHOVITSA;BULGARIA;43.15;25.7;89;1;Schiereiland
Point (24.60000000000000142 43.41700000000000159);155260;PLEVEN;BULGARIA;43.417;24.6;71;1;Schiereiland
Point (24.60000000000000142 43.39999999999999858);155280;PLEVEN;BULGARIA;43.4;24.6;160;1;Schiereiland
Point (25.64999999999999858 43.08299999999999841);155300;VELIKO TARNOVO;BULGARIA;43.083;25.65;218;1;Schiereiland
Point (25.94999999999999929 43.85000000000000142);155350;ROUSSE;BULGARIA;43.85;25.95;45;1;Schiereiland
Point (26.53300000000000125 43.51700000000000301);155490;RAZGRAD;BULGARIA;43.517;26.533;347;1;Schiereiland
Point (27.26699999999999946 44.11699999999999733);155500;SILISTRA;BULGARIA;44.117;27.267;16;1;Schiereiland
Point (27.91700000000000159 43.20000000000000284);155520;VARNA;BULGARIA;43.2;27.917;43;1;Schiereiland
Point (26.31700000000000017 42.66700000000000159);155560;DATSAV3 VIRT STATION (BULGARIA);BULGARIA;42.667;26.317;0;1;Schiereiland
Point (27.91700000000000159 43.20000000000000284);155561;VARNA;BULGARIA;43.2;27.917;41;1;Schiereiland
Point (28.53300000000000125 43.53300000000000125);155610;SHABLA;BULGARIA;43.533;28.533;28;1;Schiereiland
Point (28.46699999999999875 43.36699999999999733);155620;KALIAKPA;BULGARIA;43.367;28.467;64;1;Schiereiland
Point (23.66700000000000159 42.83299999999999841);156000;MOURGASH;BULGARIA;42.833;23.667;1692;1;Schiereiland
Point (22.93299999999999983 42.93299999999999983);156050;DRAGOMAN;BULGARIA;42.933;22.933;716;1;Schiereiland
Point (26.31700000000000017 42.66700000000000159);156090;DATSAV3 VIRT STATION (BULGARIA);BULGARIA;42.667;26.317;0;1;Schiereiland
Point (23.38299999999999912 42.81700000000000017);156091;SOFIA (OBSERVATORY);BULGARIA;42.817;23.383;595;1;Schiereiland
Point (23.26699999999999946 42.58299999999999841);156130;CHERNI VRAH (TOP/SO;BULGARIA;42.583;23.267;2292;1;Schiereiland
Point (23.38299999999999912 42.64999999999999858);156140;SOFIA (OBSERV.);BULGARIA;42.65;23.383;591;1;Schiereiland
Point (23.58299999999999841 42.18299999999999983);156150;MUSSALA (TOP/SOMMET;BULGARIA;42.183;23.583;2927;1;Schiereiland
Point (24.75 42.13300000000000267);156250;PLOVDIV;BULGARIA;42.133;24.75;185;1;Schiereiland
Point (24.83299999999999841 42.66700000000000159);156270;BOTEV VRAH (TOP/SOM;BULGARIA;42.667;24.833;2389;1;Schiereiland
Point (25.33299999999999841 42.20000000000000284);156350;CHIRPAN;BULGARIA;42.2;25.333;178;1;Schiereiland
Point (26.31700000000000017 42.66700000000000159);156400;SLIVEN;BULGARIA;42.667;26.317;257;1;Schiereiland
Point (27.48300000000000054 42.48299999999999699);156550;BURGAS;BULGARIA;42.483;27.483;28;1;Schiereiland
Point (27.85000000000000142 42.10000000000000142);156610;ACHTOPOL;BULGARIA;42.1;27.85;19;1;Schiereiland
Point (23.26699999999999946 41.51700000000000301);157120;SANDANSKI;BULGARIA;41.517;23.267;207;1;Schiereiland
Point (24.68299999999999983 41.66700000000000159);157250;SNEJANKA (TOP/SOMME;BULGARIA;41.667;24.683;1930;1;Schiereiland
Point (24.73300000000000054 41.88300000000000267);157260;ROJEN;BULGARIA;41.883;24.733;1750;1;Schiereiland
Point (13.48300000000000054 45.81700000000000017);161080;RONCHI DEI LEGIONAR;ITALY;45.817;13.483;12;1;Schiereiland
Point (13.75 45.64999999999999858);161100;TRIESTE;ITALY;45.65;13.75;20;1;Schiereiland
Point (22.96699999999999875 40.51700000000000301);166220;THESSALONIKI (AIRPO;GREECE;40.517;22.967;4;1;Schiereiland
Point (24.60000000000000142 40.98299999999999699);166240;CHRYSOPOULI (AIRPOR;GREECE;40.983;24.6;5;1;Schiereiland
Point (25.91700000000000159 40.85000000000000142);166270;ALEXANDROUPOLI (AIR;GREECE;40.85;25.917;3;1;Schiereiland
Point (22.80000000000000071 39.21699999999999875);166650;ANCHIALOS (AIRPORT);GREECE;39.217;22.8;15;1;Schiereiland
Point (22.39999999999999858 38.89999999999999858);166750;LAMIA;GREECE;38.9;22.4;144;1;Schiereiland
